	G1_rep1	G1_rep2	G1_rep3	G2_rep1	G2_rep2	G2_rep3
gene_11213	99	89	265	169	381	142
gene_11214	0	3	1	0	1	0
gene_11215	15	12	4	35	10	15
gene_11216	25	27	51	61	53	34
gene_11217	0	23	6	1	2	0
gene_11218	4	5	15	4	0	13
gene_11219	67	27	28	42	39	25
gene_11220	286	522	528	433	378	416
gene_11221	19	10	19	3	4	9
gene_11222	769	476	271	91	374	325
gene_11223	89	70	30	32	34	54
gene_11224	0	2	0	1	0	0
gene_11225	9	12	23	40	20	57
gene_11226	36	9	12	49	30	24
gene_11227	2	1	1	0	0	0
gene_11228	0	0	1	17	0	1
gene_11229	0	0	0	0	0	1
gene_11230	148	142	140	129	203	159
gene_11231	2	0	0	0	0	0
gene_11232	411	523	383	493	453	510
gene_11233	30	47	28	45	62	52
gene_11234	53	134	35	54	85	20
gene_11235	321	339	376	346	462	347
gene_11236	4	0	6	2	24	1
gene_11237	1	0	1	1	0	2
gene_11238	0	2	8	4	0	2
gene_11239	128	55	63	61	149	89
gene_11240	16	42	103	29	9	46
gene_11241	0	11	0	0	2	3
gene_11242	35	92	74	44	71	105
gene_11243	186	71	206	136	209	268
gene_11244	24	24	0	11	16	11
gene_11245	41	25	39	64	20	22
gene_11246	1	3	0	1	4	2
gene_11247	152	102	120	127	103	65
gene_11248	13	30	15	10	13	26
gene_11249	14	18	18	22	9	32
gene_11250	174	20	52	166	119	144
gene_11251	64	52	48	68	49	34
gene_11252	205	195	204	207	238	185
gene_11253	18	22	19	19	23	19
gene_11254	140	576	283	192	303	157
gene_11255	801	736	685	473	697	696
gene_11256	30	22	21	15	39	28
gene_11257	7	1	1	6	0	5
gene_11258	48	64	73	79	29	65
gene_11259	13	12	9	12	4	11
gene_11260	4	24	21	0	13	5
gene_11261	130	217	220	225	193	205
gene_11262	85	71	122	104	98	75
gene_11263	1	1	0	0	0	0
gene_11264	159	128	235	146	229	165
gene_11265	24	16	10	16	23	24
gene_11266	1	0	1	3	0	3
gene_11267	3	4	3	0	4	2
gene_11268	165	258	220	258	256	350
gene_11269	302	319	482	269	738	299
gene_11270	5	7	34	1	8	1
gene_11271	0	5	7	0	3	4
gene_11272	11	45	49	11	23	34
gene_11273	3	1	5	3	6	1
gene_11274	61	31	31	39	23	40
gene_11275	6	4	12	5	6	6
gene_11276	26	35	41	30	29	26
gene_11277	0	0	0	5	1	0
gene_11278	62	85	53	77	65	114
gene_11279	41	41	37	40	36	13
gene_11280	5	8	6	17	8	10
gene_11281	101	143	99	58	89	65
gene_11282	477	413	436	432	396	424
gene_11283	939	856	737	859	829	842
gene_11284	1	0	0	0	0	1
gene_11285	5	0	0	2	0	1
gene_11286	7	2	0	4	0	0
gene_11287	7	10	9	5	31	21
gene_11288	92	132	103	90	153	138
gene_11289	88	91	68	127	71	97
gene_11290	42	229	289	181	610	215
gene_11291	47	40	55	55	57	51
gene_11292	19	36	43	35	28	31
gene_11293	1	0	0	1	0	4
gene_11294	1	2	0	2	1	1
gene_11295	72	168	177	46	66	187
gene_11296	13	8	18	3	14	12
gene_11297	0	0	2	0	2	0
gene_11298	2017	2499	1967	2342	1609	2355
gene_11299	30	0	16	1	2	5
gene_11300	1	0	0	3	2	0
gene_11301	1	0	0	0	0	0
gene_11302	469	159	54	339	157	114
gene_11303	629	604	742	604	904	802
gene_11304	14	5	15	8	5	10
gene_11305	5	0	2	0	3	0
gene_11306	36	20	25	22	29	31
gene_11307	21	15	25	11	46	19
gene_11308	34	100	93	118	43	70
gene_11309	2	0	0	2	0	0
gene_11310	96	125	68	87	97	94
gene_11311	13	21	30	17	11	2
gene_11312	18	30	5	35	3	4
gene_11313	0	18	0	17	6	29
gene_11314	661	669	636	864	955	732
gene_11315	37	25	37	34	28	38
gene_11316	242	104	119	151	174	143
gene_11317	44	54	48	40	45	47
gene_11318	0	3	6	0	4	20
gene_11319	2	2	3	2	1	1
gene_11320	0	1	2	0	0	4
gene_11321	5	1	0	1	0	7
gene_11322	5	3	0	2	4	7
gene_11323	118	145	173	123	122	125
gene_11324	36	79	64	45	36	51
gene_11325	2	0	41	4	2	14
gene_11326	175	231	259	346	347	269
gene_11327	341	556	173	301	773	150
gene_11328	5	0	15	23	1	0
gene_11329	6	4	0	3	0	1
gene_11330	1	6	0	3	4	2
gene_11331	0	0	3	5	38	3
gene_11332	4	3	3	3	10	7
gene_11333	1	2	19	1	6	1
gene_11334	3	2	1	4	5	1
gene_11335	35	22	16	21	15	34
gene_11336	2	1	1	1	0	0
gene_11337	0	3	23	0	22	33
gene_11338	33	17	14	20	24	27
gene_11339	99	132	124	124	92	77
gene_11340	5	2	0	3	1	1
gene_11341	62	125	107	110	102	111
gene_11342	49	34	50	39	52	31
gene_11343	6	7	6	3	7	10
gene_11344	16	13	10	1	33	2
gene_11345	38	50	42	54	53	31
gene_11346	10	6	6	15	0	10
gene_11347	11	18	6	19	18	17
gene_11348	10	38	21	15	24	22
gene_11349	0	4	2	1	1	3
gene_11350	12	15	6	9	12	18
gene_11351	43	36	24	35	34	25
gene_11352	45	38	22	19	32	117
gene_11353	53	53	44	51	39	56
gene_11354	44	31	36	33	41	40
gene_11355	524	461	263	584	734	541
gene_11356	47	29	64	71	85	61
gene_11357	29	23	26	28	36	36
gene_11358	67	31	65	45	33	93
gene_11359	1244	434	224	285	430	236
gene_11360	19	7	33	9	11	21
gene_11361	238	290	359	691	355	326
gene_11362	3	8	8	6	8	10
gene_11363	2	1	2	0	1	0
gene_11364	1	23	0	3	16	0
gene_11365	1	3	11	0	0	8
gene_11366	233	229	216	171	219	261
gene_11367	18	12	12	11	7	13
gene_11368	17	1	1	3	1	14
gene_11369	272	583	397	404	709	214
gene_11370	1	1	0	0	0	0
gene_11371	17	14	15	12	14	12
gene_11372	277	221	148	358	308	377
gene_11373	376	496	279	523	308	455
gene_11374	21	24	54	67	46	31
gene_11375	26	31	36	31	33	35
gene_11376	39	37	37	46	49	43
gene_11377	68	35	77	83	106	73
gene_11378	44	1	1	24	29	0
gene_11379	8	13	21	19	14	17
gene_11380	0	1	0	1	0	0
gene_11381	13	31	11	7	14	27
gene_11382	0	2	0	1	0	2
gene_11383	127	78	73	157	96	83
gene_11384	31	33	24	32	40	36
gene_11385	59	75	56	54	131	110
gene_11386	8	3	0	0	1	1
gene_11387	5	1	5	0	1	0
gene_11388	88	56	48	59	54	100
gene_11389	33	38	44	35	79	85
gene_11390	3	9	2	4	3	3
gene_11391	34	56	34	66	94	35
gene_11392	15	0	9	26	0	22
gene_11393	97	62	43	40	64	93
gene_11394	37	45	104	127	27	80
gene_11395	1	4	0	2	0	0
gene_11396	20	38	45	39	43	89
gene_11397	21	31	28	93	76	58
gene_11398	6	1	2	1	8	2
gene_11399	0	48	44	7	2	17
gene_11400	1	0	0	0	2	0
gene_11401	22	14	24	31	25	24
gene_11402	26	21	10	7	24	16
gene_11403	19	30	25	45	68	44
gene_11404	0	0	0	0	0	0
gene_11405	11	13	7	1	15	31
gene_11406	0	0	1	0	0	0
gene_11407	6	4	0	6	0	2
gene_11408	65	64	49	29	53	68
gene_11409	147	131	131	114	125	121
gene_11410	1	0	3	1	0	1
gene_11411	1681	1469	1258	1702	1216	1133
gene_11412	323	254	302	306	275	311
gene_11413	106	91	105	97	94	81
gene_11414	21	0	6	0	0	0
gene_11415	12	0	0	0	0	1
gene_11416	17	42	0	15	2	18
gene_11417	48	113	107	40	39	63
gene_11418	47	40	58	48	49	58
gene_11419	0	0	4	0	1	10
gene_11420	0	1	0	0	2	6
gene_11421	50	63	66	60	63	46
gene_11422	18	13	1	1	113	0
gene_11423	24	17	24	10	12	47
gene_11424	110	75	119	111	95	55
gene_11425	106	91	129	110	96	104
gene_11426	8	0	4	1	12	6
gene_11427	47	54	80	26	49	63
gene_11428	0	0	19	0	19	4
gene_11429	36	83	76	64	86	31
gene_11430	180	140	237	303	230	248
gene_11431	0	0	0	0	0	0
gene_11432	0	0	1	0	0	0
gene_11433	19	72	49	15	28	20
gene_11434	2	4	0	0	0	0
gene_11435	2	10	1	2	44	13
gene_11436	0	1	2	0	1	1
gene_11437	50	12	24	28	17	37
gene_11438	24	22	40	27	14	20
gene_11439	1	4	10	0	5	76
gene_11440	76	49	57	60	73	73
gene_11441	27	14	28	18	26	23
gene_11442	1	4	25	19	2	2
gene_11443	17	12	29	7	5	10
gene_11444	281	203	237	172	371	90
gene_11445	148	181	192	154	157	222
gene_11446	107	66	65	81	75	68
gene_11447	1211	683	1328	1467	755	933
gene_11448	3	0	5	4	0	1
gene_11449	216	132	144	200	230	131
gene_11450	21	8	3	14	31	6
gene_11451	7	6	19	7	6	12
gene_11452	203	229	210	171	85	121
gene_11453	173	145	107	160	136	149
gene_11454	3	0	0	0	1	10
gene_11455	14	12	61	26	11	0
gene_11456	0	3	4	1	0	0
gene_11457	12	15	22	24	31	28
gene_11458	7	0	3	0	2	6
gene_11459	195	158	426	148	191	144
gene_11460	0	8	1	2	8	0
gene_11461	30	47	25	50	26	7
gene_11462	36	76	66	43	27	34
gene_11463	1073	625	1951	811	612	410
gene_11464	2	10	16	55	8	47
gene_11465	2	3	0	3	1	2
gene_11466	2	4	0	0	1	8
gene_11467	74	55	70	75	93	70
gene_11468	94	61	162	174	38	79
gene_11469	2	1	2	2	1	1
gene_11470	180	195	183	152	148	142
gene_11471	23	29	19	16	28	22
gene_11472	2	1	4	1	11	3
gene_11473	60	87	55	80	84	81
gene_11474	38	58	34	18	24	39
gene_11475	95	97	99	81	101	92
gene_11476	57	62	71	55	68	87
gene_11477	288	44	190	292	141	344
gene_11478	4	4	1	8	2	2
gene_11479	13	12	20	17	13	18
gene_11480	4	3	2	2	7	3
gene_11481	13	13	57	28	21	99
gene_11482	38	36	44	60	58	51
gene_11483	41	128	71	106	30	45
gene_11484	55	48	26	49	68	47
gene_11485	0	0	0	6	35	1
gene_11486	0	0	0	0	0	0
gene_11487	4	0	0	0	0	2
gene_11488	15	9	31	34	11	14
gene_11489	5	5	9	0	0	0
gene_11490	0	1	0	0	0	1
gene_11491	79	17	35	47	57	45
gene_11492	54	53	56	50	57	56
gene_11493	53	28	37	38	33	56
gene_11494	6	0	0	0	0	3
gene_11495	21	23	13	27	18	20
gene_11496	144	155	97	88	104	211
gene_11497	1816	948	536	329	1445	761
gene_11498	158	120	263	283	143	362
gene_11499	13	0	1	0	3	1
gene_11500	18	10	15	16	24	13
gene_11501	212	166	153	218	203	148
gene_11502	3	0	5	6	3	6
gene_11503	72	72	115	95	74	125
gene_11504	9	9	5	9	5	3
gene_11505	43	19	27	29	36	33
gene_11506	6	8	6	0	8	0
gene_11507	38	37	0	13	1	22
gene_11508	31	60	43	52	48	45
gene_11509	0	0	2	0	0	0
gene_11510	212	211	231	208	227	248
gene_11511	4	3	6	12	7	5
gene_11512	16	20	4	7	10	11
gene_11513	61	18	7	53	28	8
gene_11514	64	64	55	68	64	56
gene_11515	0	0	19	12	16	0
gene_11516	2	7	7	5	9	7
gene_11517	56	36	32	39	50	53
gene_11518	20	14	15	17	11	21
gene_11519	58	15	43	36	28	44
gene_11520	0	4	0	0	0	0
gene_11521	63	106	103	65	84	76
gene_11522	0	5	21	12	0	7
gene_11523	10	5	10	7	8	8
gene_11524	59	36	39	29	47	27
gene_11525	3	2	1	2	1	5
gene_11526	128	12	46	182	3	51
gene_11527	140	111	193	264	102	166
gene_11528	0	1	0	0	0	1
gene_11529	4	0	1	0	1	1
gene_11530	80	15	21	24	5	7
gene_11531	2	7	0	12	2	4
gene_11532	32	29	39	36	31	23
gene_11533	782	802	788	806	930	810
gene_11534	16	114	277	122	101	109
gene_11535	0	0	1	0	0	1
gene_11536	26	23	9	17	33	3
gene_11537	262	270	323	176	377	438
gene_11538	67	7	40	35	42	26
gene_11539	0	0	0	0	0	0
gene_11540	39	27	40	33	49	42
gene_11541	0	7	6	0	1	17
gene_11542	552	2964	628	415	1101	1403
gene_11543	3763	4596	5749	4730	3683	2679
gene_11544	13	19	5	18	9	24
gene_11545	261	321	328	242	297	348
gene_11546	55	95	95	180	85	107
gene_11547	0	0	23	4	9	3
gene_11548	489	547	643	526	495	394
gene_11549	14	9	18	4	23	5
gene_11550	218	110	190	225	213	166
gene_11551	125	155	181	169	146	107
gene_11552	276	201	188	254	136	243
gene_11553	19	13	14	9	18	18
gene_11554	0	1	0	0	0	34
gene_11555	17	51	17	60	20	7
gene_11556	17	10	6	6	6	17
gene_11557	6	9	28	24	17	14
gene_11558	14	21	24	16	15	37
gene_11559	0	0	0	2	1	0
gene_11560	116	78	86	94	109	105
gene_11561	12	39	38	8	61	39
gene_11562	3	0	0	0	0	1
gene_11563	78	95	86	78	87	101
gene_11564	0	2	2	0	0	2
gene_11565	85	59	73	57	65	70
gene_11566	17	113	1	0	0	4
gene_11567	5	0	0	1	1	3
gene_11568	63	102	133	113	75	48
gene_11569	33	31	33	33	42	14
gene_11570	3	1	1	1	1	0
gene_11571	229	405	374	942	422	131
gene_11572	1	0	10	21	0	0
gene_11573	47	20	63	65	45	24
gene_11574	37	0	0	0	0	7
gene_11575	32	0	0	19	1	0
gene_11576	0	0	0	1	0	0
gene_11577	238	183	201	116	262	228
gene_11578	4	2	3	3	0	2
gene_11579	5	5	1	0	0	2
gene_11580	9	15	14	10	11	21
gene_11581	0	3	0	0	1	1
gene_11582	880	1075	392	105	775	387
gene_11583	228	247	234	262	301	257
gene_11584	178	271	181	282	206	396
gene_11585	2	6	5	2	12	1
gene_11586	24	25	29	33	18	24
gene_11587	13	6	20	4	4	4
gene_11588	23	5	8	25	39	46
gene_11589	93	107	85	82	89	102
gene_11590	112	98	99	98	97	91
gene_11591	2	7	1	0	4	0
gene_11592	50	19	24	19	28	41
gene_11593	34	37	44	29	10	34
gene_11594	0	0	1	0	1	1
gene_11595	21	80	36	90	63	76
gene_11596	29	30	23	29	22	20
gene_11597	1	1	0	2	0	0
gene_11598	60	64	59	64	63	74
gene_11599	59	100	87	63	107	128
gene_11600	148	84	89	79	143	108
gene_11601	4	0	7	5	6	7
gene_11602	6	3	0	2	0	0
gene_11603	36	26	43	45	49	37
gene_11604	106	45	40	67	38	29
gene_11605	3	1	28	2	7	5
gene_11606	164	62	53	83	118	84
gene_11607	267	250	275	214	218	243
gene_11608	5	8	5	3	3	12
gene_11609	8	6	1	10	7	9
gene_11610	7	8	13	9	8	21
gene_11611	5	17	5	2	8	3
gene_11612	0	0	0	0	0	0
gene_11613	2	0	1	2	0	1
gene_11614	16	11	6	24	10	9
gene_11615	154	126	141	141	122	133
gene_11616	1	3	8	2	12	36
gene_11617	0	1	11	1	5	0
gene_11618	62	54	61	59	130	52
gene_11619	0	7	1	5	0	0
gene_11620	12	7	10	13	8	11
gene_11621	35	34	43	55	41	45
gene_11622	1	0	0	2	1	1
gene_11623	57	43	18	37	32	66
gene_11624	0	2	3	0	0	0
gene_11625	239	455	217	396	291	147
gene_11626	11	8	12	14	11	15
gene_11627	116	125	30	69	45	197
gene_11628	15	21	19	20	16	19
gene_11629	41	73	42	58	66	67
gene_11630	20	12	8	7	7	6
gene_11631	12	0	0	1	1	0
gene_11632	903	565	558	670	425	589
gene_11633	54	50	115	143	54	102
gene_11634	27	56	58	67	40	48
gene_11635	4	1	3	1	2	0
gene_11636	19	0	21	4	4	0
gene_11637	20	32	15	34	18	19
gene_11638	39	68	78	126	62	105
gene_11639	19	18	19	23	21	23
gene_11640	131	385	309	224	233	272
gene_11641	87	83	204	118	162	121
gene_11642	60	60	48	61	38	63
gene_11643	58	35	22	13	30	13
gene_11644	66	41	40	44	53	36
gene_11645	122	225	47	288	115	39
gene_11646	0	0	0	0	0	2
gene_11647	119	229	173	169	84	112
gene_11648	10	13	2	0	0	0
gene_11649	33	48	58	72	50	41
gene_11650	23	20	13	26	32	25
gene_11651	5	10	11	7	8	16
gene_11652	3	5	11	10	0	1
gene_11653	305	340	233	330	338	306
gene_11654	7	1	18	15	5	20
gene_11655	376	448	494	450	598	367
gene_11656	26	24	5	33	1	6
gene_11657	0	0	0	2	1	2
gene_11658	3	3	0	0	2	1
gene_11659	71	71	40	39	66	27
gene_11660	20	15	6	37	17	12
gene_11661	16	8	21	28	22	31
gene_11662	6	44	14	24	13	27
gene_11663	10	4	0	0	2	0
gene_11664	92	96	84	71	57	85
gene_11665	0	2	1	2	36	0
gene_11666	11	0	11	0	0	27
gene_11667	112	97	63	40	71	58
gene_11668	806	1053	750	1107	937	1246
gene_11669	5	0	9	2	0	1
gene_11670	12	4	0	11	15	8
gene_11671	622	436	518	279	508	419
gene_11672	16	11	11	16	11	5
gene_11673	35	33	10	17	26	6
gene_11674	61	28	50	43	52	44
gene_11675	0	2	8	0	0	0
gene_11676	9	1	0	0	5	1
gene_11677	3	1	24	0	9	3
gene_11678	169	166	97	113	225	156
gene_11679	91	115	127	134	97	35
gene_11680	57	36	33	63	39	40
gene_11681	4	3	0	5	1	0
gene_11682	100	112	122	97	108	154
gene_11683	0	1	1	0	1	0
gene_11684	25	21	35	48	30	8
gene_11685	6	2	0	0	0	0
gene_11686	183	116	63	108	59	196
gene_11687	15	26	15	18	17	28
gene_11688	8	4	8	6	8	5
gene_11689	28	31	26	10	34	34
gene_11690	66	63	99	103	235	114
gene_11691	0	1	0	1	4	0
gene_11692	4	13	16	4	1	0
gene_11693	1	2	3	14	16	7
gene_11694	162	138	149	158	148	166
gene_11695	255	472	370	268	503	498
gene_11696	172	282	161	151	172	184
gene_11697	17	18	17	12	18	11
gene_11698	26	30	30	40	34	35
gene_11699	15	2	1	0	14	0
gene_11700	5	0	3	8	3	4
gene_11701	0	9	7	6	0	0
gene_11702	69	159	66	42	42	63
gene_11703	65	26	50	36	52	47
gene_11704	9	0	0	2	7	9
gene_11705	1	3	2	1	3	2
gene_11706	3	5	0	10	4	2
gene_11707	16	31	15	26	32	8
gene_11708	3	0	1	1	27	1
gene_11709	143	261	47	155	55	186
gene_11710	4	4	10	0	5	16
gene_11711	231	207	186	197	239	212
gene_11712	45	44	53	63	64	69
gene_11713	76	39	31	36	62	94
gene_11714	143	123	136	140	159	154
gene_11715	7	20	20	27	8	73
gene_11716	190	142	115	96	113	78
gene_11717	50	58	72	32	50	69
gene_11718	231	212	187	226	241	205
gene_11719	156	170	160	109	108	122
gene_11720	106	73	88	14	41	54
gene_11721	47	63	25	26	52	18
gene_11722	0	0	0	1	4	0
gene_11723	132	150	206	208	187	148
gene_11724	14	23	42	21	24	28
gene_11725	0	1	4	25	0	5
gene_11726	2	6	5	3	6	6
gene_11727	244	268	528	572	266	822
gene_11728	86	89	102	77	85	105
gene_11729	53	58	50	53	61	50
gene_11730	14	2	3	0	3	1
gene_11731	59	21	22	58	54	30
gene_11732	0	0	0	0	0	2
gene_11733	63	1	7	16	60	8
gene_11734	868	415	314	469	329	358
gene_11735	33	0	3	0	18	0
gene_11736	15	4	1	5	2	19
gene_11737	25	36	62	61	3	41
gene_11738	0	9	0	3	29	24
gene_11739	254	94	60	71	71	48
gene_11740	29	21	11	16	58	20
gene_11741	0	4	0	1	1	0
gene_11742	20	41	39	59	58	59
gene_11743	10	6	9	41	3	8
gene_11744	40	2	1	74	1	11
gene_11745	15	46	25	49	57	34
gene_11746	22	22	41	19	27	27
gene_11747	2	21	15	3	13	15
gene_11748	2	12	11	11	2	1
gene_11749	91	105	81	92	100	62
gene_11750	13	9	8	7	15	19
gene_11751	107	84	143	84	164	247
gene_11752	53	39	44	22	46	59
gene_11753	84	104	19	59	51	56
gene_11754	65	75	69	75	74	76
gene_11755	7	1	0	2	6	1
gene_11756	50	187	89	137	111	143
gene_11757	60	70	62	38	80	55
gene_11758	14	5	23	145	64	15
gene_11759	7	4	0	0	0	0
gene_11760	1	2	0	3	0	0
gene_11761	1	1	1	7	7	8
gene_11762	78	72	64	51	63	40
gene_11763	2	4	0	1	0	0
gene_11764	0	1	1	2	0	0
gene_11765	1	0	0	0	0	1
gene_11766	21	0	3	20	0	16
gene_11767	172	194	176	204	145	166
gene_11768	71	91	74	73	96	64
gene_11769	73	33	98	85	58	60
gene_11770	0	0	4	0	2	3
gene_11771	0	0	1	1	2	0
gene_11772	0	0	0	1	3	1
gene_11773	2	4	2	0	0	0
gene_11774	0	1	4	1	0	16
gene_11775	9	6	11	17	18	4
gene_11776	9	16	16	12	25	14
gene_11777	15	27	35	23	17	24
gene_11778	0	1	0	0	0	0
gene_11779	0	0	0	0	2	4
gene_11780	166	124	121	177	135	136
gene_11781	11	20	3	5	23	8
gene_11782	199	249	288	262	282	302
gene_11783	20	27	20	24	26	19
gene_11784	0	4	1	0	1	2
gene_11785	92	51	93	123	95	89
gene_11786	0	2	0	1	0	4
gene_11787	15	33	15	42	34	39
gene_11788	21	21	74	20	70	33
gene_11789	24	38	33	77	43	20
gene_11790	4	4	18	10	0	5
gene_11791	761	445	531	687	848	499
gene_11792	164	215	176	216	184	199
gene_11793	2	0	0	20	0	9
gene_11794	20	0	23	26	16	41
gene_11795	1	0	0	0	1	1
gene_11796	0	1	0	1	0	0
gene_11797	7	10	11	7	12	9
gene_11798	2	2	2	0	2	1
gene_11799	111	94	128	95	115	107
gene_11800	221	215	66	125	95	129
gene_11801	93	128	62	107	58	77
gene_11802	39	41	22	27	33	23
gene_11803	5	24	29	6	25	19
gene_11804	0	2	0	0	0	3
gene_11805	65	61	125	51	35	40
gene_11806	8	24	9	0	7	24
gene_11807	24	44	0	32	3	13
gene_11808	169	78	101	126	84	66
gene_11809	3	11	8	5	14	6
gene_11810	3	0	3	3	2	4
gene_11811	0	0	0	2	29	0
gene_11812	9	8	7	8	6	0
gene_11813	57	76	67	60	76	66
gene_11814	0	0	0	23	1	8
gene_11815	223	256	262	289	198	150
gene_11816	3	0	3	1	0	1
gene_11817	4	13	16	22	33	28
gene_11818	830	468	531	398	600	511
gene_11819	1115	1901	1877	3637	1653	2011
gene_11820	162	99	133	144	71	156
gene_11821	70	38	69	22	87	84
gene_11822	3	0	0	2	1	0
gene_11823	10	4	10	3	8	14
gene_11824	12	24	27	19	19	24
gene_11825	16	9	10	13	12	14
gene_11826	2	10	4	5	2	1
gene_11827	0	1	0	0	0	3
gene_11828	1	0	5	0	4	1
gene_11829	160	202	259	224	162	197
gene_11830	4	6	15	10	16	9
gene_11831	1	0	0	0	0	0
gene_11832	1	0	3	91	133	0
gene_11833	160	62	94	79	43	162
gene_11834	0	12	2	4	3	0
gene_11835	0	0	2	0	5	0
gene_11836	134	109	120	169	112	139
gene_11837	4	4	6	6	3	1
gene_11838	8	1	0	0	0	3
gene_11839	39	34	45	43	33	50
gene_11840	77	92	46	85	98	49
gene_11841	6	4	4	6	8	13
gene_11842	79	36	76	40	41	40
gene_11843	57	59	32	38	31	30
gene_11844	11	21	13	2	8	31
gene_11845	75	33	46	47	42	40
gene_11846	16	2	22	3	0	32
gene_11847	19	14	21	4	17	11
gene_11848	81	75	61	54	51	48
gene_11849	141	122	144	120	188	137
gene_11850	0	0	1	0	2	1
gene_11851	14	10	17	18	5	18
gene_11852	26	9	4	6	24	17
gene_11853	7	10	11	9	1	17
gene_11854	142	130	171	192	130	159
gene_11855	3	0	5	7	11	6
gene_11856	1	0	1	1	0	0
gene_11857	324	412	275	219	359	242
gene_11858	41	25	20	17	46	16
gene_11859	13	12	0	0	9	4
gene_11860	240	184	436	276	383	357
gene_11861	4	9	16	7	8	7
gene_11862	0	2	1	0	2	2
gene_11863	2	16	0	112	103	15
gene_11864	0	0	4	0	5	0
gene_11865	30	13	10	4	2	4
gene_11866	0	1	1	2	0	1
gene_11867	77	71	49	78	49	74
gene_11868	172	93	79	100	132	123
gene_11869	21	28	8	14	16	15
gene_11870	0	0	3	0	1	0
gene_11871	679	463	626	357	426	343
gene_11872	1	1	7	5	2	8
gene_11873	4	2	6	6	4	10
gene_11874	0	4	2	1	3	8
gene_11875	909	1124	596	1238	871	568
gene_11876	76	99	43	31	115	84
gene_11877	13	7	20	42	8	13
gene_11878	17	23	19	17	15	13
gene_11879	22	23	41	60	14	36
gene_11880	12	10	14	8	22	16
gene_11881	950	590	1011	1171	448	486
gene_11882	3	6	4	1	0	5
gene_11883	0	0	0	0	0	0
gene_11884	73	54	72	64	75	58
gene_11885	38	57	58	55	48	21
gene_11886	306	215	248	247	204	231
gene_11887	79	131	142	107	109	99
gene_11888	50	279	147	169	210	77
gene_11889	35	6	55	14	28	11
gene_11890	1	1	89	3	0	30
gene_11891	1	0	7	1	4	0
gene_11892	9	16	18	14	13	17
gene_11893	118	78	52	69	116	157
gene_11894	1	2	2	5	1	0
gene_11895	0	1	0	1	0	0
gene_11896	586	643	544	660	543	525
gene_11897	16	14	8	9	10	12
gene_11898	0	0	1	0	4	2
gene_11899	27	55	28	44	55	65
gene_11900	1	1	0	1	0	0
gene_11901	16	0	7	9	4	2
gene_11902	9	62	7	20	57	22
gene_11903	2	0	0	0	1	2
gene_11904	42	32	3	21	10	34
gene_11905	0	0	0	3	3	2
gene_11906	30	42	35	40	37	41
gene_11907	3	5	4	2	7	2
gene_11908	0	1	0	1	0	0
gene_11909	496	415	339	329	409	461
gene_11910	53	27	41	36	15	68
gene_11911	0	0	1	0	0	0
gene_11912	1	3	5	13	10	4
gene_11913	8	9	4	9	2	3
gene_11914	122	138	147	138	177	134
gene_11915	0	0	0	2	0	2
gene_11916	36	32	19	42	49	21
gene_11917	133	91	67	121	124	127
gene_11918	88	249	98	116	127	113
gene_11919	78	50	44	72	122	55
gene_11920	6	0	0	4	6	0
gene_11921	31	4	17	28	13	23
gene_11922	48	41	39	57	67	67
gene_11923	1	2	1	3	3	0
gene_11924	2	0	0	1	0	4
gene_11925	0	2	2	4	12	1
gene_11926	0	0	1	0	0	0
gene_11927	61	49	50	77	61	40
gene_11928	2	29	5	1	39	30
gene_11929	17	2	2	7	0	45
gene_11930	9	9	22	3	27	56
gene_11931	187	98	94	104	67	99
gene_11932	23	30	36	58	35	20
gene_11933	52	41	64	69	48	44
gene_11934	35	36	29	51	56	49
gene_11935	74	89	97	65	60	67
gene_11936	67	69	66	56	50	100
gene_11937	424	254	444	268	443	673
gene_11938	8	117	0	0	10	0
gene_11939	17	11	57	55	52	28
gene_11940	1	0	0	0	1	0
gene_11941	11	12	7	9	12	9
gene_11942	6	0	4	2	0	3
gene_11943	0	1	3	0	3	0
gene_11944	9	334	20	40	18	58
gene_11945	46	37	47	34	30	44
gene_11946	14	10	6	19	3	2
gene_11947	53	25	29	51	23	128
gene_11948	7	10	19	11	10	15
gene_11949	30	49	46	37	71	51
gene_11950	251	115	93	157	219	139
gene_11951	0	0	0	0	0	0
gene_11952	33	31	40	34	36	20
gene_11953	0	1	2	6	7	0
gene_11954	36	59	58	74	56	61
gene_11955	0	7	0	3	0	0
gene_11956	12	11	3	3	2	8
gene_11957	62	60	80	56	58	62
gene_11958	3	0	3	0	0	0
gene_11959	53	26	27	66	92	46
gene_11960	2	1	3	6	1	1
gene_11961	0	0	2	1	1	4
gene_11962	9	0	3	15	0	26
gene_11963	115	124	110	108	149	124
gene_11964	0	1	0	1	0	1
gene_11965	47	27	72	52	79	48
gene_11966	1	14	9	5	4	1
gene_11967	63	25	37	52	37	33
gene_11968	0	1	0	0	0	0
gene_11969	0	0	1	0	0	2
gene_11970	324	331	351	342	255	142
gene_11971	0	0	0	0	0	1
gene_11972	79	117	83	90	96	103
gene_11973	0	1	1	1	0	0
gene_11974	14	51	34	42	31	21
gene_11975	184	344	252	196	246	263
gene_11976	80	43	42	79	46	71
gene_11977	21	54	69	81	36	29
gene_11978	0	0	1	11	6	0
gene_11979	4	2	2	22	11	12
gene_11980	1	3	0	0	0	0
gene_11981	184	151	129	187	158	142
gene_11982	15	6	11	12	20	9
gene_11983	0	2	1	3	4	0
gene_11984	23	24	21	27	26	26
gene_11985	79	36	60	44	93	81
